Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
EAST,Eastside Distilling Inc. Common Stock,$0.255,0.0005,0.196%,4013491.00,United States,,52900,Consumer Staples,Beverages (Production/Distribution)
EFXT,Enerflex Ltd Common Shares,$7.43,0.08,1.088%,919046569.00,Canada,2022,94407,Consumer Staples,Meat/Poultry/Fish
FAMI,Farmmi Inc. Ordinary Shares,$0.6402,0.0702,12.316%,13135433.00,China,2018,570450,Consumer Staples,Packaged Foods
FARM,Farmer Brothers Company Common Stock,$4.88,0.08,1.667%,95378048.00,United States,,13856,Consumer Staples,Specialty Foods
FDP,Fresh Del Monte Produce Inc. Common Stock,$27.25,0.06,0.221%,1303833502.00,Cayman Islands,1997,126768,Consumer Staples,Farming/Seeds/Milling
FIZZ,National Beverage Corp. Common Stock,$42.83,0.57,1.349%,3998306677.00,United States,,131442,Consumer Staples,Beverages (Production/Distribution)
FLO,Flowers Foods Inc. Common Stock,$26.72,-0.11,-0.41%,5641476806.00,United States,,2212089,Consumer Staples,Farming/Seeds/Milling
FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock,$84.13,0.45,0.538%,30103617610.00,Mexico,,558335,Consumer Staples,Beverages (Production/Distribution)
GIS,General Mills Inc. Common Stock,$77.46,0.01,0.013%,45671246139.00,United States,,3961836,Consumer Staples,Food Chains
HEAR,Turtle Beach Corporation Common Stock,$8.51,0.30,3.654%,140899730.00,United States,,288359,Consumer Staples,Consumer Electronics/Appliances
HRL,Hormel Foods Corporation Common Stock,$44.58,0.12,0.27%,24359590569.00,United States,,2119976,Consumer Staples,Meat/Poultry/Fish
HSY,The Hershey Company Common Stock,$214.52,-1.60,-0.74%,43994314204.00,United States,,1298260,Consumer Staples,Specialty Foods
IBA,Industrias Bachoco S.A.B. de C.V. Common Stock,$52.44,0.73,1.412%,2622000000.00,Mexico,1997,3131,Consumer Staples,Meat/Poultry/Fish
IMKTA,Ingles Markets Incorporated Class A Common Stock,$95.53,0.86,0.908%,1814532739.00,United States,1987,67248,Consumer Staples,Food Chains
IMTE,Integrated Media Technology Limited Ordinary Shares,$0.8239,0.0039,0.476%,13005321.00,Australia,,57630,Consumer Staples,Consumer Electronics/Appliances
INGR,Ingredion Incorporated Common Stock,$102.15,-0.33,-0.322%,6696475632.00,United States,,363335,Consumer Staples,Farming/Seeds/Milling
JBSS,John B. Sanfilippo & Son Inc. Common Stock,$78.69,-0.27,-0.342%,907050581.00,United States,1991,101863,Consumer Staples,Specialty Foods
JJSF,J & J Snack Foods Corp. Common Stock,$144.25,-3.04,-2.064%,2773830853.00,United States,1986,102128,Consumer Staples,Specialty Foods
JVA,Coffee Holding Co. Inc. Common Stock,$2.34,0.01,0.429%,13358122.00,United States,2005,7121,Consumer Staples,Specialty Foods
JXJT,JX Luxventure Limited Common Stock,$0.9125,-0.0365,-3.846%,2364560.00,China,2013,11817,Consumer Staples,Apparel
K,Kellogg Company Common Stock,$67.50,0.19,0.282%,23036477288.00,United States,,2280602,Consumer Staples,Packaged Foods
KAL,Kalera Public Limited Company Ordinary Shares,$5.96,-0.09,-1.488%,5475917.00,Ireland,,91008,Consumer Staples,Farming/Seeds/Milling
KALWW,Kalera Public Limited Company Warrant,$0.029,0.0023,8.614%,0.00,Ireland,,117221,Consumer Staples,Farming/Seeds/Milling
KDP,Keurig Dr Pepper Inc. Common Stock,$34.71,0.35,1.019%,49158082866.00,United States,,7148690,Consumer Staples,Beverages (Production/Distribution)
KHC,The Kraft Heinz Company Common Stock,$39.88,-0.16,-0.40%,48850214940.00,United States,,8773759,Consumer Staples,Farming/Seeds/Milling
KO,Coca-Cola Company (The) Common Stock,$60.08,0.36,0.603%,259816756901.00,United States,,14226390,Consumer Staples,Beverages (Production/Distribution)
KOF,Coca Cola Femsa S.A.B. de C.V.  American Depositary Shares each representing 10 Units (each Unit consists of 3 Series B Shares and 5 Series L Shares),$70.81,0.70,0.998%,14875993233.00,Mexico,1993,159157,Consumer Staples,Beverages (Production/Distribution)
KOSS,Koss Corporation Common Stock,$5.67,0.005,0.088%,52049438.00,United States,,39232,Consumer Staples,Consumer Electronics/Appliances
KR,Kroger Company (The) Common Stock,$44.45,0.45,1.023%,31818282344.00,United States,,3965612,Consumer Staples,Food Chains
LANC,Lancaster Colony Corporation Common Stock,$192.59,0.59,0.307%,5306432270.00,United States,,164241,Consumer Staples,Packaged Foods
LFLY,Leafly Holdings Inc. Common Stock,$0.6441,0.0221,3.553%,25786909.00,United States,2019,57988,Consumer Staples,Retail-Drug Stores and Proprietary Stores
LFLYW,Leafly Holdings Inc. Warrant,$0.0799,-0.0088,-9.921%,0.00,United States,2019,4022,Consumer Staples,Retail-Drug Stores and Proprietary Stores
LFVN,Lifevantage Corporation Common Stock (Delaware),$3.81,0.03,0.794%,47853733.00,United States,,7239,Consumer Staples,Farming/Seeds/Milling
LMNR,Limoneira Co Common Stock,$13.29,0.01,0.075%,235024546.00,United States,,29138,Consumer Staples,Farming/Seeds/Milling
LND,Brasilagro Brazilian Agric Real Estate Co Sponsored ADR (Brazil),$5.76,0.11,1.947%,569121575.00,Brazil,,20890,Consumer Staples,Farming/Seeds/Milling
LOCL,Local Bounti Corporation Common Stock,$0.97,0.0748,8.356%,100589611.00,,2021,498657,Consumer Staples,Farming/Seeds/Milling
LSF,Laird Superfood Inc. Common Stock,$1.19,0.03,2.586%,10974920.00,,2020,22826,Consumer Staples,Specialty Foods
LW,Lamb Weston Holdings Inc. Common Stock ,$96.56,0.92,0.962%,13892144170.00,,2016,1934737,Consumer Staples,Specialty Foods
LWAY,Lifeway Foods Inc. Common Stock,$5.57,-0.10,-1.764%,86307718.00,United States,,35849,Consumer Staples,Specialty Foods
MDLZ,Mondelez International Inc. Class A Common Stock,$64.04,0.20,0.313%,87454209252.00,United States,,7524277,Consumer Staples,Meat/Poultry/Fish
MDVL,MedAvail Holdings Inc. Common Stock,$0.519,0.0189,3.779%,41543716.00,Canada,,164333,Consumer Staples,Retail-Drug Stores and Proprietary Stores
MGPI,MGP Ingredients Inc.,$102.22,2.48,2.486%,2248230360.00,United States,,113948,Consumer Staples,Beverages (Production/Distribution)
MICS,The Singing Machine Company Inc. Common Stock,$4.39,0.08,1.856%,13978721.00,United States,,1340,Consumer Staples,Diversified Electronic Products
MKC,McCormick & Company Incorporated Common Stock,$77.44,0.79,1.031%,20769951784.00,United States,,1046029,Consumer Staples,Farming/Seeds/Milling
MMMB,MamaMancini's Holdings Inc. Common Stock,$1.89,-0.04,-2.073%,68640750.00,United States,,41905,Consumer Staples,Farming/Seeds/Milling
MNST,Monster Beverage Corporation,$100.00,0.14,0.14%,52212525600.00,United States,,2462011,Consumer Staples,Beverages (Production/Distribution)
MSN,Emerson Radio Corporation Common Stock,$0.5564,0.0063,1.145%,11708132.00,United States,1994,27003,Consumer Staples,Consumer Electronics/Appliances
NAPA,The Duckhorn Portfolio Inc. Common Stock,$16.30,0.64,4.087%,1877502346.00,,2021,302217,Consumer Staples,Beverages (Production/Distribution)
NATR,Nature's Sunshine Products Inc. Common Stock,$9.47,0.11,1.175%,181508033.00,United States,,60752,Consumer Staples,Farming/Seeds/Milling
NCRA,Nocera Inc. Common Stock,$1.28,-0.01,-0.775%,11543791.00,Taiwan,,27851,Consumer Staples,Packaged Foods
NGVC,Natural Grocers by Vitamin Cottage Inc. Common Stock,$9.45,0.96,11.307%,214632643.00,United States,2012,129874,Consumer Staples,Food Chains
NOA,North American Construction Group Ltd. Common Shares (no par),$14.53,0.05,0.345%,383894529.00,Canada,2006,22972,Consumer Staples,Meat/Poultry/Fish
NOMD,Nomad Foods Limited Ordinary Shares,$17.28,0.21,1.23%,3007588372.00,,2016,608222,Consumer Staples,Specialty Foods
NUZE,NuZee Inc. Common Stock,$12.56,-1.78,-12.413%,8493436.00,United States,,158246,Consumer Staples,Farming/Seeds/Milling
OTLY,Oatly Group AB American Depositary Shares,$2.54,0.05,2.008%,1503428540.00,Sweden,2021,3526334,Consumer Staples,Packaged Foods
PEP,PepsiCo Inc. Common Stock,$169.88,0.25,0.147%,234045240425.00,United States,,5771348,Consumer Staples,Beverages (Production/Distribution)
PETS,PetMed Express Inc. Common Stock,$18.64,0.76,4.251%,392850619.00,United States,,558089,Consumer Staples,Retail-Drug Stores and Proprietary Stores
PETZ,TDH Holdings Inc. Common Shares,$1.80,0.04,2.273%,82529991.00,China,2017,28241,Consumer Staples,Packaged Foods
PPC,Pilgrim's Pride Corporation Common Stock,$26.01,0.28,1.088%,6150568184.00,United States,,637388,Consumer Staples,Meat/Poultry/Fish
PRMW,Primo Water Corporation Common Stock,$14.75,0.00,0.00%,2356878930.00,Canada,,812305,Consumer Staples,Farming/Seeds/Milling
RAD,Rite Aid Corporation Common Stock,$3.32,0.13,4.075%,187657535.00,United States,,2342393,Consumer Staples,Retail-Drug Stores and Proprietary Stores
REED,Reeds Inc. Common Stock,$0.084,0.00,0.00%,10587349.00,United States,,538499,Consumer Staples,Beverages (Production/Distribution)
RIBT,RiceBran Technologies Common Stock,$1.0001,-0.0299,-2.903%,6242701.00,United States,,52908,Consumer Staples,Specialty Foods
RMCF,Rocky Mountain Chocolate Factory Inc. Common Stock,$5.45,-0.0102,-0.187%,34064119.00,United States,,11344,Consumer Staples,Specialty Foods
SAM,Boston Beer Company Inc. (The) Common Stock,$354.83,6.26,1.796%,4362683462.00,United States,,117077,Consumer Staples,Beverages (Production/Distribution)
SANW,S&W Seed Company Common Stock (NV),$1.445,0.055,3.957%,61590878.00,United States,,16179,Consumer Staples,Farming/Seeds/Milling
SBEV,Splash Beverage Group Inc. (NV) Common Stock,$1.00,0.04,4.167%,40101116.00,,2021,348104,Consumer Staples,Beverages (Production/Distribution)
SEED,Origin Agritech Limited Common Stock,$9.5896,-0.1904,-1.947%,57691590.00,China,,31721,Consumer Staples,Farming/Seeds/Milling
SENEA,Seneca Foods Corp. Class A Common Stock,$61.29,0.20,0.327%,464955011.00,United States,,65476,Consumer Staples,Packaged Foods
SENEB,Seneca Foods Corp. Class B Common Stock,$64.87,0.00,0.00%,492113421.00,United States,,9,Consumer Staples,Packaged Foods
SJM,J.M. Smucker Company (The) New Common Stock,$148.93,-1.13,-0.753%,15881747908.00,United States,,680329,Consumer Staples,Packaged Foods
SLVM,Sylvamo Corporation Common Stock,$46.05,0.48,1.053%,2032118392.00,United States,2021,284946,Consumer Staples,Paper
SMFL,Smart for Life Inc. Common Stock,$0.2282,0.0157,7.388%,8238720.00,United States,2022,405350,Consumer Staples,Farming/Seeds/Milling
SMPL,The Simply Good Foods Company Common Stock,$34.51,-0.02,-0.058%,3433446730.00,United States,,851731,Consumer Staples,Packaged Foods
SNAX,Stryve Foods Inc. Class A Common Stock,$0.819,0.0489,6.35%,20483691.00,United States,2019,150060,Consumer Staples,Specialty Foods
SNAXW,Stryve Foods Inc. Warrant,$0.0579,0.0004,0.696%,0.00,United States,2019,20454,Consumer Staples,Specialty Foods
SONY,Sony Group Corporation American Depositary Shares ,$89.29,1.32,1.501%,110245499655.00,Japan,,541048,Consumer Staples,Consumer Electronics/Appliances
SSY,SunLink Health Systems Inc. Common Stock,$0.7856,-0.0344,-4.195%,5524027.00,United States,1996,3686,Consumer Staples,Retail-Drug Stores and Proprietary Stores
STKH,Steakholder Foods Ltd. American Depositary Shares,$1.04,-0.06,-5.455%,16845054.00,Israel,2021,407387,Consumer Staples,Packaged Foods
STZ,Constellation Brands Inc. Common Stock,$220.88,4.29,1.981%,40751966613.00,United States,,1641242,Consumer Staples,Beverages (Production/Distribution)
TAP,Molson Coors Beverage Company Class B Common Stock,$49.98,0.39,0.786%,10821106575.00,Canada,,906289,Consumer Staples,Beverages (Production/Distribution)
THRN,Thorne Healthtech Inc. Common Stock,$4.01,0.36,9.863%,214484943.00,United States,2021,39105,Consumer Staples,Farming/Seeds/Milling
THS,Treehouse Foods Inc. Common Stock,$46.70,0.29,0.625%,2619050041.00,United States,,335721,Consumer Staples,Packaged Foods
TR,Tootsie Roll Industries Inc. Common Stock,$43.22,0.11,0.255%,2978558726.00,United States,,90282,Consumer Staples,Specialty Foods
TROO,TROOPS Inc. Ordinary Shares ,$2.49,0.15,6.41%,252979015.00,China,,6919,Consumer Staples,Consumer Electronics/Appliances
TSN,Tyson Foods Inc. Common Stock,$64.70,1.21,1.906%,23151353587.00,United States,,2603600,Consumer Staples,Meat/Poultry/Fish
TTCF,Tattooed Chef Inc Class A Common Stock,$1.31,0.00,0.00%,33602038.00,United States,2018,707378,Consumer Staples,Farming/Seeds/Milling
TWNK,Hostess Brands Inc. Class A Common Stock,$21.81,-0.31,-1.401%,2920069734.00,United States,2015,984161,Consumer Staples,Specialty Foods
UEIC,Universal Electronics Inc. Common Stock,$22.37,0.27,1.222%,283690926.00,United States,1993,29732,Consumer Staples,Consumer Electronics/Appliances
UTZ,Utz Brands Inc Class A Common Stock ,$16.09,0.13,0.815%,1300278515.00,United States,2018,486160,Consumer Staples,Specialty Foods
UVV,Universal Corporation Common Stock,$54.40,0.51,0.946%,1335811638.00,United States,,95360,Consumer Staples,Tobacco
VINE,Fresh Vine Wine Inc. Common Stock,$1.03,0.0899,9.563%,13114225.00,,2021,28191,Consumer Staples,Beverages (Production/Distribution)
VITL,Vital Farms Inc. Common Stock,$17.70,0.84,4.982%,720954258.00,United States,2020,260266,Consumer Staples,Farming/Seeds/Milling
VLGEA,Village Super Market Inc. Class A Common Stock,$23.20,0.59,2.609%,336687541.00,United States,,21582,Consumer Staples,Food Chains
VOXX,VOXX International Corporation Class A Common Stock,$10.08,0.64,6.78%,238101898.00,United States,,70661,Consumer Staples,Consumer Electronics/Appliances
VWE,Vintage Wine Estates Inc. Common Stock,$3.06,0.05,1.661%,188774625.00,United States,,118973,Consumer Staples,Beverages (Production/Distribution)
VWEWW,Vintage Wine Estates Inc. Warrants,$0.36,0.00,0.00%,0.00,United States,,6086,Consumer Staples,Beverages (Production/Distribution)
VZIO,VIZIO Holding Corp. Class A Common Stock,$8.46,0.23,2.795%,1645050782.00,United States,2021,196258,Consumer Staples,Consumer Electronics/Appliances
WBA,Walgreens Boots Alliance Inc. Common Stock,$35.88,0.47,1.327%,30946627518.00,United States,,5596031,Consumer Staples,Retail-Drug Stores and Proprietary Stores
WEST,Westrock Coffee Company Common Stock,$12.97,0.05,0.387%,977974381.00,United States,,120462,Consumer Staples,Specialty Foods
WESTW,Westrock Coffee Company Warrants,$2.23,0.23,11.50%,0.00,United States,,187315,Consumer Staples,Specialty Foods
WMK,Weis Markets Inc. Common Stock,$86.33,1.09,1.279%,2322142584.00,United States,,58023,Consumer Staples,Food Chains
WTER,The Alkaline Water Company Inc. Common Stock,$0.2424,-0.0075,-3.001%,35877449.00,United States,,499057,Consumer Staples,Beverages (Production/Distribution)
WVVI,Willamette Valley Vineyards Inc. Common Stock,$5.99,0.0535,0.901%,29737529.00,United States,,6688,Consumer Staples,Beverages (Production/Distribution)
WVVIP,Willamette Valley Vineyards Inc. Series A Redeemable Preferred Stock,$5.45,0.19,3.612%,0.00,United States,,1236,Consumer Staples,Beverages (Production/Distribution)
YI,111 Inc. American Depositary Shares,$3.10,0.18,6.164%,258141907.00,China,2018,155376,Consumer Staples,Retail-Drug Stores and Proprietary Stores
ZVIA,Zevia PBC Class A Common Stock,$4.34,0.04,0.93%,194717602.00,,2021,81046,Consumer Staples,Specialty Foods
