Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
MP,MP Materials Corp. Common Stock,$30.21,1.53,5.335%,5363574846.00,,2020,1368712,Basic Materials,Precious Metals
MSB,Mesabi Trust Common Stock,$20.41,0.125,0.616%,267779404.00,United States,,48711,Basic Materials,Metal Mining
MUX,McEwen Mining Inc. Common Stock,$6.95,0.25,3.731%,329621556.00,Canada,,266869,Basic Materials,Other Metals and Minerals
NEM,Newmont Corporation,$53.34,0.87,1.658%,42338023912.00,United States,,4857975,Basic Materials,Precious Metals
NEXA,Nexa Resources S.A. Common Shares,$7.26,-0.10,-1.359%,961504316.00,,2017,68127,Basic Materials,Metal Mining
PKG,Packaging Corporation of America Common Stock,$132.48,2.71,2.088%,12258967910.00,United States,2000,491774,Basic Materials,Paper
PLL,Piedmont Lithium Inc. Common Stock,$62.56,3.62,6.142%,1126719864.00,United States,,468354,Basic Materials,Other Metals and Minerals
PZG,Paramount Gold Nevada Corp. Common Stock,$0.3914,-0.0037,-0.936%,18369333.00,United States,2015,85331,Basic Materials,Precious Metals
RFP,Resolute Forest Products Inc. Common Stock,$21.36,0.09,0.423%,1640700283.00,Canada,,342705,Basic Materials,Paper
RIO,Rio Tinto Plc Common Stock,$78.38,1.06,1.371%,127042593346.00,Australia,2002,3670428,Basic Materials,Metal Mining
SBSW,D/B/A Sibanye-Stillwater Limited ADS,$11.61,0.19,1.664%,8214766376.00,,,1872239,Basic Materials,Precious Metals
SCCO,Southern Copper Corporation Common Stock,$75.05,-1.11,-1.457%,58021040098.00,United States,,1632667,Basic Materials,Metal Mining
STKL,SunOpta Inc. Common Stock,$8.43,0.30,3.69%,909315151.00,Canada,,779668,Basic Materials,Precious Metals
SUZ,Suzano S.A. American Depositary Shares (each representing One Ordinary Share),$9.11,-0.40,-4.206%,11928196857.00,,2018,2342331,Basic Materials,Paper
UEC,Uranium Energy Corp. Common Stock,$3.75,0.10,2.74%,1386761408.00,Canada,,7861986,Basic Materials,Other Metals and Minerals
UFPI,UFP Industries Inc. Common Stock,$86.49,2.24,2.659%,5331028586.00,United States,1993,194831,Basic Materials,Forest Products
USAU,U.S. Gold Corp. Common Stock,$5.13,-0.01,-0.195%,42905591.00,United States,,16232,Basic Materials,Precious Metals
VALE,VALE S.A.  American Depositary Shares Each Representing one common share,$18.12,0.05,0.277%,84002751660.00,Brazil,,20681314,Basic Materials,Metal Mining
VGFC,The Very Good Food Company Inc. Common Shares,$0.0515,-0.001,-1.905%,6814134.00,Canada,,10625173,Basic Materials,Other Metals and Minerals
WWR,Westwater Resources Inc. Common Stock,$1.02,-0.025,-2.392%,49028016.00,United States,,152839,Basic Materials,Other Metals and Minerals
XPL,Solitario Zinc Corp. Common Stock,$0.6561,0.0166,2.596%,42494858.00,United States,,24964,Basic Materials,Precious Metals
